ID,age,gender,sent,labels,topic,tokens,clean_text,word_counts
1,28,F,"Abortion should be banned! People are killing babies! If you have sex, you have to live with the consequences!",deceptive,Abortion,abortion should be banned people are killing babies if you have sex you have to live with the consequences,abortion ban people kill baby sex live consequence,19
1,28,F,"I'm assuming we're talking about animals... euthanasia makes me sad, but i understand that it has become necessary with the domesticated animal overpopulation problem. It humanely eliminates animals that would contribute to the problem.",truthful,Euthanasia,i 'm assuming we 're talking about animals euthanasia makes me sad but i understand that it has become necessary with the domesticated animal overpopulation problem it humanely eliminates animals that would contribute to the problem,assume talk animal euthanasia make sad understand necessary domesticate animal overpopulation problem humanely eliminate animal contribute problem,36
1,28,F,"I think gay marriage is just a normal as straight marriage. It doesn't affect anyone who isn't gay, so if you're not gay, i don't think you should have a problem with it. It's only fair to let gay people who love each other have the same constitutional rights as straight people who love each other.",truthful,Gay Marriage,i think gay marriage is just a normal as straight marriage it does n't affect anyone who is n't gay so if you 're not gay i do n't think you should have a problem with it it 's only fair to let gay people who love each other have the same constitutional rights as straight people who love each other,think gay marriage normal straight marriage affect gay gay think problem fair let gay people love constitutional right straight people love,61
1,28,F,"We need to keep them out of the country. They are dangerous and they bring drugs with them. They steal our jobs and benefit from our government systems, but they don't pay taxes.",deceptive,Migration,we need to keep them out of the country they are dangerous and they bring drugs with them they steal our jobs and benefit from our government systems but they do n't pay taxes,need country dangerous bring drug steal job benefit government system pay taxis,34
1,28,F,"I think it should be legalized and regulated like alcohol. You shouldn't be able to drive under the influence, but i don't see how it is any more harmful than alcohol and tobacco, two legal substances. The country might as well make some money off of it to help the citizens.",truthful,Cannabis Legalization,i think it should be legalized and regulated like alcohol you should n't be able to drive under the influence but i do n't see how it is any more harmful than alcohol and tobacco two legal substances the country might as well make some money off of it to help the citizens,think legalize regulate like alcohol able drive influence harmful alcohol tobacco legal substance country money help citizen,53
2,59,F,I believe in a woman's right to choose to abort. It is such a relief to be able to determine I can kill my own child. I am glad to live in a country that allows this practice. The burden of raising kids is a financial one and takes me away from what I want to do with my life.,deceptive,Abortion,i believe in a woman 's right to choose to abort it is such a relief to be able to determine i can kill my own child i am glad to live in a country that allows this practice the burden of raising kids is a financial one and takes me away from what i want to do with my life,believe woman right choose abort relief able determine kill child glad live country allow practice burden raise kid financial take away want life,61
2,59,F,I don't believe in taking one's own life. Only God can determine the end of life. This is immoral and wrong. This is painful for living family to witness/see.,truthful,Euthanasia,i do n't believe in taking one 's own life only god can determine the end of life this is immoral and wrong this is painful for living family to witness see,believe take life god determine end life immoral wrong painful live family witness,32
2,59,F,I am against gay marriage.  The Bible is my guide.  It specifically states that marriage is between a man and a woman.  It is unnatural and immoral.,truthful,Gay Marriage,i am against gay marriage the bible is my guide it specifically states that marriage is between a man and a woman it is unnatural and immoral,gay marriage bible guide specifically state marriage man woman unnatural immoral,27
2,59,F,We should allow all migrants in to this country. They deserve to have the same benefits citizens do. They should be given food stamps and shelter as well as health care. We should not question where they came from.,deceptive,Migration,we should allow all migrants in to this country they deserve to have the same benefits citizens do they should be given food stamps and shelter as well as health care we should not question where they came from,allow migrant country deserve benefit citizen give food stamp shelter health care question come,39
2,59,F,I am for cannabis legalization for medicinal purposes only. It has been successful in treating a variety of illnesses/diseases. It is much cheaper than traditional medication. We need to make this legal in all 50 states.,truthful,Cannabis Legalization,i am for cannabis legalization for medicinal purposes only it has been successful in treating a variety of illnesses diseases it is much cheaper than traditional medication we need to make this legal in all 50 states,cannabis legalization medicinal purpose successful treat variety illness disease cheap traditional medication need legal 50 state,37
3,48,F,i am for abortion. I believe that women have the right to control their own bodies. I think that it is immoral and illegal and also sexist for a man to have any form of say whatsoever in a woman's health. Life does not begin until after birth so abortion is just a form of birth control and should be treated as such.,deceptive,Abortion,i am for abortion i believe that women have the right to control their own bodies i think that it is immoral and illegal and also sexist for a man to have any form of say whatsoever in a woman 's health life does not begin until after birth so abortion is just a form of birth control and should be treated as such,abortion believe woman right control body think immoral illegal sexist man form whatsoever woman health life begin birth abortion form birth control treat,64
3,48,F,"I am not for euthanasia for people or animals. I don't think that anyone should just give up and kill another life form. I think that people should keep trying to help the other life form until the end. In case of people, try to find cures. In case of animals, try to find cures and homes if that is the case.",truthful,Euthanasia,i am not for euthanasia for people or animals i do n't think that anyone should just give up and kill another life form i think that people should keep trying to help the other life form until the end in case of people try to find cures in case of animals try to find cures and homes if that is the case,euthanasia people animal think kill life form think people try help life form end case people try find cure case animal try find cure home case,63
3,48,F,"I do not believe that gay marriage should be allowed or legal. I do realize that there should be some sort of union for them. However, marriage is a religious concept between a man and a woman and should not have to change to accommodate non religious people. In my opinion, the gay community should come together and decide on a union and a name for it and the government can legalize that.",truthful,Gay Marriage,i do not believe that gay marriage should be allowed or legal i do realize that there should be some sort of union for them however marriage is a religious concept between a man and a woman and should not have to change to accommodate non religious people in my opinion the gay community should come together and decide on a union and a name for it and the government can legalize that,believe gay marriage allow legal realize sort union marriage religious concept man woman change accommodate non religious people opinion gay community come decide union government legalize,73
3,48,F,"i believe in open borders. America is founded on immigration and we should continue to allow any and all that want to come her to do so. The government can pay for their needs by taxing citizens. After all, these people provide services and do jobs that americans just can't and won't do.",deceptive,Migration,i believe in open borders america is founded on immigration and we should continue to allow any and all that want to come her to do so the government can pay for their needs by taxing citizens after all these people provide services and do jobs that americans just ca n't and wo n't do,believe open border america found immigration continue allow want come government pay need tax citizen people provide service job americans will,55
3,48,F,"I don't believe that cannabis should be legal. I see this as a crutch people use. It makes them weak and dependent. Instead of legalizing cannabis, people should find ways to solve whatever problem they have and grow stronger and independent.",truthful,Cannabis Legalization,i do n't believe that cannabis should be legal i see this as a crutch people use it makes them weak and dependent instead of legalizing cannabis people should find ways to solve whatever problem they have and grow stronger and independent,believe cannabis legal crutch people use make weak dependent instead legalize cannabi people find way solve problem grow strong independent,42
4,20,M,Abortion is so terrible! I don't understand why anyone would be able to go through with it! It is essentially just like killing someone!,deceptive,Abortion,abortion is so terrible i do n't understand why anyone would be able to go through with it it is essentially just like killing someone,abortion terrible understand able essentially like kill,25
4,20,M,"If someone was suffering and wanted to die, they should be able to die. There is no reason why people should be forced to live if they do not wish to due to a good reason, such as suffering from a medical problem. If life is not pleasant anymore due to an illness, a person should have the right to die.",truthful,Euthanasia,if someone was suffering and wanted to die they should be able to die there is no reason why people should be forced to live if they do not wish to due to a good reason such as suffering from a medical problem if life is not pleasant anymore due to an illness a person should have the right to die,suffer want die able die reason people force live wish good reason suffer medical problem life pleasant anymore illness person right die,61
4,20,M,"Gay Marriage is okay. I am not against it, and I don't really care. It does not really apply to me, so it doesn't really matter to me. I don't get why some people get so heated over this topic.",truthful,Gay Marriage,gay marriage is okay i am not against it and i do n't really care it does not really apply to me so it does n't really matter to me i do n't get why some people get so heated over this topic,gay marriage okay care apply matter people heated topic,43
4,20,M,Migrants are taking all of our jobs! We do not need people coming from other countries to take our stuff and land! We need stricter enforcements!,deceptive,Migration,migrants are taking all of our jobs we do not need people coming from other countries to take our stuff and land we need stricter enforcements,migrant take job need people come country stuff land need strict enforcement,26
4,20,M,"People smoke weed all the time, and the war on drugs is proven to be costly. Cannabis should just be legalized everywhere, since it is already legalized in many states. Even in states where it is illegal, people have easy access to it.",truthful,Cannabis Legalization,people smoke weed all the time and the war on drugs is proven to be costly cannabis should just be legalized everywhere since it is already legalized in many states even in states where it is illegal people have easy access to it,people smoke weed time war drug prove costly cannabi legalize legalize state state illegal people easy access,43
5,37,F,I think it should not be a womans choice whether or not to keep their baby. There are plenty of other options for a woman other than aborting a fetus so they shouldn't get to play God with someone elses life. It is not a form of birth control.,deceptive,Abortion,i think it should not be a womans choice whether or not to keep their baby there are plenty of other options for a woman other than aborting a fetus so they should n't get to play god with someone elses life it is not a form of birth control,think woman choice baby plenty option woman abort fetus play god else life form birth control,50
5,37,F,I think this is awful. Only God can decide when it's time for someone to go. No one else should get to make this decision. I think it is awful to put this option in anyone elses hands besides God. It is not our choice to make this decision.,truthful,Euthanasia,i think this is awful only god can decide when it 's time for someone to go no one else should get to make this decision i think it is awful to put this option in anyone elses hands besides god it is not our choice to make this decision,think awful god decide time decision think awful option else hand god choice decision,50
5,37,F,"I think gay marriage is a great thing. No one is told who to marry so why should it matter if they choose to marry the same sex. Why get married to someone of the opposite sex just so that you're doing it the right way. Who's to say there is a right way? If the person you are about to marry treats you right, it shouldn't matter what sex they are.",truthful,Gay Marriage,i think gay marriage is a great thing no one is told who to marry so why should it matter if they choose to marry the same sex why get married to someone of the opposite sex just so that you 're doing it the right way who 's to say there is a right way if the person you are about to marry treats you right it should n't matter what sex they are,think gay marriage great thing tell marry matter choose marry sex married opposite sex right way right way person marry treat right matter sex,75
5,37,F,Migrants should be welcome with no government restrictions. This nation was founded on migrants so why not let everyone come over. The more the merrier. We will figure it out and there is plenty to go around.,deceptive,Migration,migrants should be welcome with no government restrictions this nation was founded on migrants so why not let everyone come over the more the merrier we will figure it out and there is plenty to go around,migrant welcome government restriction nation found migrant let come merrier figure plenty,37
5,37,F,"Why not start having to pay tax on it and regulate it so everyone is safe. People will smoke weed anyway so if we make it a public forum, we will be able to make sure people are more safe about it. We legalized alcohol so why not weed?",truthful,Cannabis Legalization,why not start having to pay tax on it and regulate it so everyone is safe people will smoke weed anyway so if we make it a public forum we will be able to make sure people are more safe about it we legalized alcohol so why not weed,start have pay tax regulate safe people smoke weed public forum able sure people safe legalize alcohol weed,49
6,47,F,Abortion is killing. Abortion is killing at all levels of a baby develop in his mother's womb. They should arrest all abortion doctors in place them in jail. I can't believe the majority of our country is okay with abortions. We should stop all abortions now.,deceptive,Abortion,abortion is killing abortion is killing at all levels of a baby develop in his mother 's womb they should arrest all abortion doctors in place them in jail i ca n't believe the majority of our country is okay with abortions we should stop all abortions now,abortion kill abortion kill level baby develop mother womb arrest abortion doctor place jail believe majority country okay abortion stop abortion,48
6,47,F,"I am not for Euthanasia. I believe people should be made conformable when they are dying. It should always be legal to practice Euthanasia. People should do time in prison who assist in helping others to die. I am very much against Euthanasia,",truthful,Euthanasia,i am not for euthanasia i believe people should be made conformable when they are dying it should always be legal to practice euthanasia people should do time in prison who assist in helping others to die i am very much against euthanasia,euthanasia believe people conformable die legal practice euthanasia people time prison assist help die euthanasia,43
6,47,F,They have the right marry. I feel we should make Gay Marriage legal in every state. Gay married should be looked like regular marriages. People need to change their open about not allowing gay people to marry. Marriage should be seen between two people no matter if they are the same sex or not.,truthful,Gay Marriage,they have the right marry i feel we should make gay marriage legal in every state gay married should be looked like regular marriages people need to change their open about not allowing gay people to marry marriage should be seen between two people no matter if they are the same sex or not,right marry feel gay marriage legal state gay married look like regular marriage people need change open allow gay people marry marriage see people matter sex,54
6,47,F,They need to send all of them back home. Stop using our resources for migrant. Migrants are all criminals .We should lock them up and place them in jails near our boarders. Migrants just want to use the USA.,deceptive,Migration,they need to send all of them back home stop using our resources for migrant migrants are all criminals .we should lock them up and place them in jails near our boarders migrants just want to use the usa,need send home stop resource migrant migrant criminal .we lock place jail near boarder migrant want use usa,39
6,47,F,It is a good thing to legalize cannabis. All states should legalize cannabis. I like that most states are making cannabis legal. It is very good most legal cannabis is used for health reason. However cannabis need to be used for social reason too.,truthful,Cannabis Legalization,it is a good thing to legalize cannabis all states should legalize cannabis i like that most states are making cannabis legal it is very good most legal cannabis is used for health reason however cannabis need to be used for social reason too,good thing legalize cannabi state legalize cannabi like state make cannabis legal good legal cannabis health reason cannabis need social reason,44
